seq,datetime,lon,wind_kts,wind_mps,year,pressure,lat,name
13,2017-03-22 00:00:00+00,152,14.967615522778,7.7,2016,1006,-13.2,DEBBIE
13,2017-03-22 06:00:00+00,151.7,14.967615522778,7.7,2016,1010,-12,DEBBIE
13,2017-03-22 12:00:00+00,154,14.967615522778,7.7,2016,1011,-12.1,DEBBIE
13,2017-03-23 00:00:00+00,152.6,20.0216155694303,10.3,2016,1008,-13.3,DEBBIE
13,2017-03-23 06:00:00+00,151.6,20.0216155694303,10.3,2016,1000,-14.1,DEBBIE
13,2017-03-23 12:00:00+00,151.5,20.0216155694303,10.3,2016,1000,-14.5,DEBBIE
13,2017-03-23 18:00:00+00,151.3,25.0756156160826,12.9,2016,1000,-15.3,DEBBIE
13,2017-03-24 00:00:00+00,151.3,25.0756156160826,12.9,2016,999,-15.9,DEBBIE
13,2017-03-24 06:00:00+00,151.6,25.0756156160826,12.9,2016,996,-16.4,DEBBIE
13,2017-03-24 12:00:00+00,151.8,29.935231045556,15.4,2016,996,-16.8,DEBBIE
13,2017-03-24 18:00:00+00,152.1,29.935231045556,15.4,2016,991,-17,DEBBIE
13,2017-03-25 00:00:00+00,152.1,34.9892310922083,18,2016,991,-17.3,DEBBIE
13,2017-03-25 06:00:00+00,152.1,40.0432311388606,20.6,2016,990,-17.6,DEBBIE
13,2017-03-25 12:00:00+00,152,55.0108466616386,28.3,2016,986,-17.7,DEBBIE
13,2017-03-25 18:00:00+00,151.7,55.0108466616386,28.3,2016,984,-17.9,DEBBIE
13,2017-03-26 00:00:00+00,151.4,55.0108466616386,28.3,2016,986,-18.1,DEBBIE
13,2017-03-26 06:00:00+00,151.1,60.0648467082909,30.9,2016,978,-18.3,DEBBIE
13,2017-03-26 12:00:00+00,150.7,60.0648467082909,30.9,2016,982,-18.4,DEBBIE
13,2017-03-26 18:00:00+00,150.5,60.0648467082909,30.9,2016,980,-18.7,DEBBIE
13,2017-03-27 00:00:00+00,150.4,69.9784621844166,36,2016,974,-19.1,DEBBIE
13,2017-03-27 06:00:00+00,150.15,80.0864622777212,41.2,2016,959,-19.48,DEBBIE
13,2017-03-27 12:00:00+00,149.73,95.0540778004992,48.9,2016,949,-19.52,DEBBIE
13,2017-03-27 18:00:00+00,149.26,95.0540778004992,48.9,2016,949,-19.7,DEBBIE
13,2017-03-28 00:00:00+00,148.91,90.0000777538469,46.3,2016,956,-19.96,DEBBIE
13,2017-03-28 06:00:00+00,148.4,69.9784621844166,36,2016,965,-20.35,DEBBIE
13,2017-03-28 12:00:00+00,147.85,49.9568466149863,25.7,2016,980,-20.65,DEBBIE
13,2017-03-28 18:00:00+00,147.3,34.9892310922083,18,2016,989,-21.2,DEBBIE
13,2017-03-29 00:00:00+00,146.9,29.935231045556,15.4,2016,994,-21.6,DEBBIE
13,2017-03-29 06:00:00+00,146.9,25.0756156160826,12.9,2016,995,-22.1,DEBBIE
13,2017-03-29 12:00:00+00,147.4,20.0216155694303,10.3,2016,999,-22.9,DEBBIE
13,2017-03-29 18:00:00+00,148,20.0216155694303,10.3,2016,999,-24,DEBBIE
13,2017-03-30 00:00:00+00,148.8,20.0216155694303,10.3,2016,1002,-24.7,DEBBIE
13,2017-03-30 06:00:00+00,152.7,25.0756156160826,12.9,2016,999,-25.9,DEBBIE
13,2017-03-30 12:00:00+00,153.1,34.9892310922083,18,2016,994,-27.8,DEBBIE
13,2017-03-30 18:00:00+00,154.2,34.9892310922083,18,2016,995,-27.9,DEBBIE
13,2017-03-31 00:00:00+00,156.1,29.935231045556,15.4,2016,998,-28,DEBBIE
13,2017-03-31 06:00:00+00,157.1,29.935231045556,15.4,2016,998,-28.2,DEBBIE
13,2017-03-31 12:00:00+00,158.1,29.935231045556,15.4,2016,999,-28.5,DEBBIE
13,2017-03-31 18:00:00+00,158.65,25.0756156160826,12.9,2016,1000,-28.85,DEBBIE
13,2017-04-01 00:00:00+00,159.2,20.0216155694303,10.3,2016,1002,-29.2,DEBBIE

